X	Y	Species	Type	Diam	Height	ParamG1
68.5	99	ABMA	Adult	20.1	0	0
63	98	ABCO	Adult	5.8	0	0
55.5	97	ABMA	Adult	120.9	0	0
55	90.5	ABMA	Adult	101.1	0	0
54	89	ABMA	Adult	26.7	0	0
58.5	88	ABMA	Adult	38.8	0	0
53.5	88.5	ABMA	Adult	30.2	0	0
56	84	ABMA	Adult	9.9	0	0
57	84	ABCO	Adult	11.8	0	0
59	84	ABMA	Adult	18	0	0
54	81	ABMA	Adult	46.9	0	0
50	84	ABCO	Adult	2.4	0	0
48	82	ABMA	Adult	84	0	0
43.5	83	ABCO	Adult	14.9	0	0
48	86	ABMA	Adult	32.6	0	0
49	91.5	ABCO	Adult	68	0	0
44	91	ABCO	Adult	39.8	0	0
46	98	ABMA	Adult	18.8	0	0
45.5	99	ABMA	Adult	20.3	0	0
49.5	75	ABCO	Adult	107.3	0	0
47	79.5	ABMA	Adult	1.7	0	0
45	69	ABCO	Adult	22.9	0	0
43	69	ABMA	Adult	13.5	0	0
45	67.5	ABMA	Adult	14.3	0	0
42.5	65	ABMA	Adult	28	0	0
50.5	69.5	ABMA	Adult	3.7	0	0
59	71	ABMA	Adult	75.6	0	0
61.5	73	ABCO	Adult	3.4	0	0
62	73.5	ABMA	Adult	20.4	0	0
62	73	ABCO	Adult	5.2	0	0
61	72	ABCO	Adult	2.6	0	0
61.5	72	ABMA	Adult	18.2	0	0
62	71.5	ABMA	Adult	21.1	0	0
62.5	69	ABMA	Adult	16.7	0	0
62.5	67.5	ABCO	Adult	17.5	0	0
37	79	ABMA	Adult	47.1	0	0
25.5	72	ABCO	Adult	28.6	0	0
27	70.5	ABCO	Adult	66.8	0	0
26.5	68	ABCO	Adult	20.5	0	0
24.5	66.5	ABMA	Adult	96.8	0	0
25.5	66	ABCO	Adult	30.8	0	0
24	63	ABMA	Adult	89.2	0	0
19	70.5	ABMA	Adult	63.6	0	0
17	77	ABCO	Adult	61.5	0	0
15.5	70	ABCO	Adult	25.1	0	0
16	69	ABMA	Adult	50.2	0	0
14	63	ABMA	Adult	2.2	0	0
13	71	ABMA	Adult	12.7	0	0
12	72	ABCO	Adult	19.9	0	0
8.5	72	ABCO	Adult	19.1	0	0
43	22	ABCO	Adult	1.2	0	0
42.5	22	ABMA	Adult	1.6	0	0
41	22	ABCO	Adult	1.5	0	0
30.5	23	ABCO	Adult	8.5	0	0
30.5	22.5	ABCO	Adult	10	0	0
19.5	3	ABCO	Adult	20.1	0	0
21	1	ABCO	Adult	23.9	0	0
26	9	ABCO	Adult	1.2	0	0
25	9	ABCO	Adult	1.1	0	0
29.5	1	ABMA	Adult	78.3	0	0
76	39	ABCO	Adult	70.6	0	0
77	42	ABMA	Adult	93	0	0
18.5	95	ABMA	Adult	66.5	0	0
39	99	ABCO	Adult	42	0	0
40.5	94	ABCO	Adult	7.2	0	0
39.5	91	ABCO	Adult	28.1	0	0
39	92	ABCO	Adult	21.5	0	0
43	87	ABMA	Adult	8.2	0	0
40	82	ABCO	Adult	58.6	0	0
20	86	ABCO	Adult	27	0	0
26	89	ABCO	Adult	28.9	0	0
20.5	87	ABMA	Adult	13.5	0	0
20.5	86.5	ABMA	Adult	48.1	0	0
18	87	ABMA	Adult	2.8	0	0
21	94	ABMA	Adult	67.6	0	0
8	85	ABMA	Adult	12.8	0	0
1	79.5	ABCO	Adult	6	0	0
2	77.5	ABMA	Adult	13.1	0	0
1	75	ABCO	Adult	7.4	0	0
1.5	75.5	ABCO	Adult	11.3	0	0
2	76	ABCO	Adult	22.5	0	0
4	75	ABMA	Adult	36	0	0
3	72	ABCO	Adult	7	0	0
64.5	99	ABCO	Adult	11	0	0
78	99	ABMA	Adult	29.5	0	0
75	84	ABMA	Adult	28.4	0	0
39.5	92.5	ABCO	Adult	26.7	0	0
80	75	ABMA	Adult	22.4	0	0
3.5	91	ABCO	Adult	22.4	0	0
3.5	92	ABCO	Adult	19.1	0	0
3.5	94	ABCO	Adult	31.8	0	0
3	95	ABCO	Adult	22.9	0	0
5.5	99	ABCO	Adult	7.7	0	0
9	97	ABCO	Adult	4.8	0	0
8.5	97	ABCO	Adult	11.1	0	0
8	94	ABCO	Adult	6	0	0
9.5	93.5	ABCO	Adult	9.2	0	0
9.5	94	ABCO	Adult	22.5	0	0
11	90	PIJE	Adult	14.7	0	0
8	89	ABMA	Adult	24.7	0	0
5.5	91	ABCO	Adult	10	0	0
5	88	ABCO	Adult	5.5	0	0
2	85	ABMA	Adult	19.1	0	0
2.5	83	ABCO	Adult	18.3	0	0
4.5	85	ABMA	Adult	21.9	0	0
5	70	ABCO	Adult	63.3	0	0
13	79	ABCO	Adult	42.7	0	0
8	79	ABCO	Adult	47.5	0	0
2	82	ABCO	Adult	14.7	0	0
5	85	ABCO	Adult	5.2	0	0
7	86	PILA	Adult	40.1	0	0
3.5	87	ABMA	Adult	17.4	0	0
24	29.5	ABMA	Adult	9.3	0	0
12	22.5	ABCO	Adult	3.9	0	0
6.5	89	ABMA	Adult	7	0	0
30.5	90	ABMA	Adult	131.5	0	0
23	94	PILA	Adult	11.3	0	0
14	78	ABCO	Adult	29.8	0	0
36	45	ABCO	Adult	4.8	0	0
96	6	ABMA	Adult	75.3	0	0
95.5	7	ABCO	Adult	7.3	0	0
96	8	ABCO	Adult	16.8	0	0
94	17	ABCO	Adult	17.5	0	0
99	14	ABCO	Adult	49.4	0	0
97.5	19.5	ABCO	Adult	9.6	0	0
98	21	ABCO	Adult	5.2	0	0
100	19	ABCO	Adult	26.8	0	0
103	22	ABMA	Adult	128.5	0	0
106	25	ABCO	Adult	7	0	0
99	10	ABCO	Adult	6.5	0	0
99	9	ABCO	Adult	8.6	0	0
101	6	ABCO	Adult	6.3	0	0
