X	Y	Species	Type	Diam	Height	ParamG1
237	30	ABCO	Adult	57.1	0	0
236	26.5	ABCO	Adult	47	0	0
233	20	ABCO	Adult	87.9	0	0
227.5	18.5	ABCO	Adult	62.8	0	0
240.5	27.5	ABCO	Adult	114.9	0	0
247.5	23	ABCO	Adult	102.3	0	0
253	22	PILA	Adult	76.6	0	0
257	23	PIJE	Adult	48.6	0	0
252	27	ABCO	Adult	58.1	0	0
260	22.5	PIJE	Adult	42.5	0	0
256	35	PIJE	Adult	82.1	0	0
262	23	ABCO	Adult	38.9	0	0
256	30	ABCO	Adult	47.7	0	0
257	30	PIJE	Adult	49.7	0	0
269.5	28.5	CADE	Adult	45.5	0	0
275.5	26.5	ABCO	Adult	24.5	0	0
276	26	PIJE	Adult	17.1	0	0
273	24	PIJE	Adult	41.1	0	0
271	22	CADE	Adult	51.7	0	0
266	30	ABCO	Adult	35	0	0
276	27	PIJE	Adult	54.8	0	0
277	34	ABCO	Adult	53	0	0
265	25.5	ABCO	Adult	42.5	0	0
245	38.5	ABCO	Adult	100.2	0	0
246	39.5	ABCO	Adult	103.2	0	0
254	39	PIJE	Adult	41.9	0	0
277	25	ABCO	Adult	29.2	0	0
276.5	23.5	CADE	Adult	20.9	0	0
276	23.5	ABCO	Adult	42.8	0	0
276	21.5	PIJE	Adult	41.7	0	0
279	22	ABCO	Adult	36.7	0	0
278	15	PIPO	Adult	23.1	0	0
274	14	ABCO	Adult	48.3	0	0
296.5	71	ABCO	Adult	29.9	0	0
268	18.5	ABCO	Adult	43.2	0	0
267	16	PIJE	Adult	37.3	0	0
269.5	12	CADE	Adult	44.4	0	0
268	9.5	CADE	Adult	45.6	0	0
267.5	7.5	PIJE	Adult	67.6	0	0
267.5	5.5	ABCO	Adult	32.6	0	0
267.5	1	PIJE	Adult	25	0	0
272	2.5	CADE	Adult	51	0	0
270.5	8.5	CADE	Adult	46.9	0	0
271	8.5	PIJE	Adult	22	0	0
274	6	ABCO	Adult	13.5	0	0
275	8	CADE	Adult	49.3	0	0
276	8	ABCO	Adult	22.5	0	0
279.5	12	CADE	Adult	33	0	0
288.5	14.5	PIPO	Adult	74.4	0	0
292.5	18.5	CADE	Adult	56.9	0	0
298	20.5	CADE	Adult	38	0	0
299.5	12	CADE	Adult	32.7	0	0
300	32	PIPO	Adult	121.2	0	0
293	2.5	PIJE	Adult	33.7	0	0
297	38.5	PIJE	Adult	88.6	0	0
284	33	PIJE	Adult	46.3	0	0
293	73	PILA	Adult	15.3	0	0
289	71	ABCO	Adult	41	0	0
292	74	CADE	Adult	22.2	0	0
292	59	CADE	Adult	55.1	0	0
293	66.5	ABCO	Adult	58.2	0	0
291	57	ABCO	Adult	89.2	0	0
297	56	CADE	Adult	74.4	0	0
295.5	47	CADE	Adult	15.8	0	0
299.5	47	PILA	Adult	58	0	0
278	44	ABCO	Adult	118.5	0	0
287	49	CADE	Adult	4.4	0	0
275	48	CADE	Adult	14	0	0
275	50	PIJE	Adult	9.7	0	0
278	56	ABCO	Adult	12.9	0	0
280	56	ABCO	Adult	9.1	0	0
282	56.5	ABCO	Adult	4	0	0
275.5	59	ABCO	Adult	10.2	0	0
273	64.5	ABCO	Adult	4.5	0	0
283	77	ABCO	Adult	31.6	0	0
284	77	ABCO	Adult	30.3	0	0
283.5	78	CADE	Adult	28.5	0	0
263	67	ABCO	Adult	42.4	0	0
256	73	ABCO	Adult	29	0	0
258.5	69	ABCO	Adult	106.1	0	0
237	40	PIJE	Adult	85.1	0	0
254	72.5	ABCO	Adult	32.5	0	0
252	74	ABCO	Adult	18.6	0	0
263	78	ABCO	Adult	99.2	0	0
219	78.5	ABCO	Adult	53.6	0	0
224	39.5	ABCO	Adult	70	0	0
237	41.5	ABMA	Adult	50.1	0	0
210.5	46.5	ABMA	Adult	56.8	0	0
209	43.5	ABMA	Adult	81.4	0	0
224	70	ABCO	Adult	78.6	0	0
