X	Y	Species	Type	Diam	Height	ParamG1
174	67	ABCO	Adult	36.7	0	0
172.5	71	ABCO	Adult	38.6	0	0
174	76.5	ABCO	Adult	49.8	0	0
172	79	ABCO	Adult	18.9	0	0
182	79	ABCO	Adult	28.8	0	0
190	76.5	PIPO	Adult	11.9	0	0
191	77.5	PIPO	Adult	11.5	0	0
100	37	PILA	Adult	8.4	0	0
100	33	PIPO	Adult	3.2	0	0
102	29	ABCO	Adult	2.3	0	0
108	30.5	ABCO	Adult	58.4	0	0
108	29	ABCO	Adult	28.6	0	0
110.5	29	ABCO	Adult	17.9	0	0
124	24	ABCO	Adult	57.5	0	0
131	22	ABCO	Adult	64.2	0	0
130	25	ABCO	Adult	33.7	0	0
133	27	PILA	Adult	58.1	0	0
132	36	PILA	Adult	70.1	0	0
135	33	PILA	Adult	29.2	0	0
135	21	PILA	Adult	15	0	0
139	21	QUKE	Adult	34.9	0	0
140	17	PILA	Adult	34.7	0	0
134	19	ABCO	Adult	44	0	0
137	13	PILA	Adult	4.1	0	0
137.5	12	QUKE	Adult	37.5	0	0
137.5	11.5	QUKE	Adult	15.8	0	0
134	12	CADE	Adult	7	0	0
131.5	11.5	PILA	Adult	13.9	0	0
131	10	PILA	Adult	2.4	0	0
130	12	ABCO	Adult	6.9	0	0
131	11	ABCO	Adult	14.4	0	0
131.5	10	ABCO	Adult	8.7	0	0
134	9.5	PILA	Adult	1.5	0	0
132	8	PIPO	Adult	6.4	0	0
130	8	ABCO	Adult	14.3	0	0
131.5	7	PIPO	Adult	6.7	0	0
130.5	7	PIPO	Adult	8.3	0	0
130	7	PIPO	Adult	7.2	0	0
133	6	PIPO	Adult	17.4	0	0
133	7	PILA	Adult	6.2	0	0
132.5	9	PILA	Adult	15.2	0	0
134	10	PILA	Adult	1.2	0	0
134	9	PILA	Adult	8.2	0	0
137	9	QUKE	Adult	43.7	0	0
129	2	PILA	Adult	2.7	0	0
129	2.5	PILA	Adult	3	0	0
128	9	PIPO	Adult	12.6	0	0
128	9.5	PIPO	Adult	8.1	0	0
128	11	PIPO	Adult	8.2	0	0
128	11.5	PILA	Adult	15.3	0	0
129.5	13	PIPO	Adult	7.9	0	0
124	11.5	PILA	Adult	2.4	0	0
124	3	PIPO	Adult	8.5	0	0
121	11	ABCO	Adult	2.3	0	0
120	11	ABCO	Adult	59.1	0	0
141	3	PIPO	Adult	6.8	0	0
